Position,Const,Created,Modified,Description,Name,Known For,Birth Date
480,nm8298041,2023-10-21,2023-10-21,,"Laia Manzanares","La Tierra llamando a Ana","30 de marzo de 1994"
481,nm5184937,2023-10-27,2023-10-27,,"Felicity Anne","The Cover-Up",
482,nm3192593,2023-10-29,2023-10-29,,"Lydia Fairén","Rey Gitano","2 de octubre de 1989"
483,nm3957052,2023-11-08,2023-11-08,,"Jenna Kanell","Terrifier","12 de noviembre"
484,nm2327927,2023-11-08,2023-11-08,,"Katie Maguire","Billions",
485,nm13805264,2023-12-01,2023-12-01,,"Ania Guijarro","La Mesías",
486,nm0414046,2023-12-15,2023-12-15,,"Sherry Jackson","The Miracle of Our Lady of Fatima","15 de febrero de 1942"
487,nm0000508,2023-12-15,2023-12-15,,"Carey Lowell","Licence to Kill","11 de febrero de 1961"
488,nm5913850,2023-12-16,2023-12-16,,"Nicole Wallace","Culpa mía","22 de marzo de 2002"
489,nm9342097,2023-12-31,2023-12-31,,"Ruby Cruz","Mare of Easttown","31 de marzo de 2000"
490,nm1284201,2024-02-03,2024-02-03,,"Mariona Ribas","Amistades peligrosas","18 de junio de 1984"
491,nm0447695,2024-02-04,2024-02-04,,"Anna Kendrick","Up in the Air","9 de agosto de 1985"
492,nm10662997,2024-02-09,2024-02-09,,"Helena Ezquerro","La Moderna",
493,nm5429286,2024-02-16,2024-02-16,,"Alícia Falcó","Las buenas compañías",
494,nm7914444,2024-02-20,2024-02-20,,"Karina Fontes","Babylon","15 de noviembre de 1992"
495,nm2212031,2024-03-01,2024-03-01,,"Abby Elliott","No Strings Attached","16 de junio de 1987"
496,nm0098710,2024-03-03,2024-03-03,,"María Botto","Hustle","10 de febrero de 1974"
497,nm3993669,2024-03-03,2024-03-03,,"Eva Ugarte","Mira lo que has hecho","14 de diciembre de 1983"
498,nm12865529,2024-03-04,2024-03-04,,"Paula Campos","Matar cangrejos",
499,nm12787121,2024-03-23,2024-03-23,,"Catherine Clinch","An Cailín Ciúin",
